average_rating,cast_1,cast_2,cast_3,cast_4,cast_5,country,director,genres,language,letterboxd_uri,poster_url,runtime,studio,synopsis,title,watched_by,year
4.03,Matt Damon (Carroll Shelby),Christian Bale (Ken Miles),Jon Bernthal (Lee Iacocca),Caitríona Balfe (Mollie Miles),Josh Lucas (Leo Beebe),USA,James Mangold,"Drama, Action, History",English,https://boxd.it/ce74,https://a.ltrbxd.com/resized/sm/upload/j6/rv/uv/sq/ford-v-ferrari-1200-1200-675-675-crop-000000.jpg?v=517b3758d4,153,"20th Century Fox, TSG Entertainment, Chernin Entertainment, Turnpike Films","American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",Ford v Ferrari,"Reid, Zach",2019
3.29,Irene Bedard (Pocahontas (voice)),Mel Gibson (John Smith (voice)),David Ogden Stiers (Governor Ratcliffe (voice)),John Kassir (Meeko (voice)),Christian Bale (Thomas (voice)),USA,"Mike Gabriel, Eric Goldberg","Romance, Animation, Family, Adventure",English,https://boxd.it/1W2g,https://a.ltrbxd.com/resized/sm/upload/bk/tv/yf/pf/pocahontas-1200-1200-675-675-crop-000000.jpg?v=59f379607a,81,Walt Disney Feature Animation,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",Pocahontas,"Reid, Zach",1995
2.87,Daniel Craig (James Bond),Olga Kurylenko (Camille),Mathieu Amalric (Dominic Greene),Judi Dench (M),Giancarlo Giannini (Mathis),UK,Marc Forster,"Thriller, Action, Adventure",English,https://boxd.it/1Vs8,https://a.ltrbxd.com/resized/sm/upload/0n/oj/32/yz/quantum-of-solace-1200-1200-675-675-crop-000000.jpg?v=05a400ef35,106,"EON Productions, Metro-Goldwyn-Mayer, Columbia Pictures, B22","Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Quantum of Solace,"Reid, Zach",2008
3.94,Daniel Craig (James Bond),Judi Dench (M),Javier Bardem (Silva),Ralph Fiennes (Gareth Mallory),Naomie Harris (Eve),UK,Sam Mendes,"Adventure, Thriller, Action",English,https://boxd.it/17Fc,https://a.ltrbxd.com/resized/sm/upload/mz/jc/gj/h9/skyfall-1200-1200-675-675-crop-000000.jpg?v=b1d88a2ed3,143,"Metro-Goldwyn-Mayer, EON Productions, Columbia Pictures","When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",Skyfall,"Reid, Zach",2012
3.00,Zachary Levi (Shazam),Mark Strong (Dr. Sivana),Asher Angel (Billy Batson),Jack Dylan Grazer (Freddy Freeman),Adam Brody (Super Hero Freddy),USA,David F. Sandberg,"Action, Comedy, Fantasy",English,https://boxd.it/8WBu,https://a.ltrbxd.com/resized/sm/upload/5q/d7/zn/o5/shazam-1200-1200-675-675-crop-000000.jpg?v=31d9ead0c6,132,"New Line Cinema, The Safran Company, Seven Bucks Productions, DC Films",A boy is given the ability to become an adult superhero in times of need with a single magic word.,Shazam!,"Reid, Zach",2019
2.32,Zachary Levi (Shazam),Asher Angel (Billy Batson),Jack Dylan Grazer (Freddy Freeman),Rachel Zegler (Anthea),Adam Brody (Super Hero Freddy),USA,David F. Sandberg,"Action, Fantasy, Comedy",English,https://boxd.it/lV0S,https://a.ltrbxd.com/resized/sm/upload/f0/n7/bg/eo/shazam-1200-1200-675-675-crop-000000.jpg?v=e71127bcc4,130,"The Safran Company, New Line Cinema, DC Films","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",Shazam! Fury of the Gods,"Reid, Zach",2023
1.74,"Dennis Quaid (Charlie Wessler (segment ""The Pitch""))","Greg Kinnear (Griffin Schraeder (segment ""The Pitch""))","Hugh Jackman (Davis (segment ""The Catch""))","Kate Winslet (Beth (segment ""The Catch""))","Jeremy Allen White (Kevin (segment ""Homeschooled""))",USA,"Steven Brill, Elizabeth Banks et al",Comedy,English,https://boxd.it/37qK,https://a.ltrbxd.com/resized/sm/upload/if/jo/ub/ps/movie-43-1200-1200-675-675-crop-000000.jpg?v=857e7055b3,98,"Witness Protection Films, Relativity Media, Virgin Produced, GreeneStreet Films, Wessler Entertainment","A series of interconnected short films are the backdrop for a maniac screenwriter who pitches insane storylines featuring some of Hollywood's biggest and brightest. In some countries, like the United Kingdom and the Netherlands, the structure differs. Instead of a pitch, the films are connected by a group of three teenagers searching for the most banned film in the world, Movie 43, which will ultimately lead to the destruction of civilization.",Movie 43,"Reid, Zach",2013
3.87,Ben Stiller (Walter Mitty),Kristen Wiig (Cheryl Melhoff),Sean Penn (Sean O'Connell),Shirley MacLaine (Edna Mitty),Adam Scott (Ted Hendricks),UK,Ben Stiller,"Comedy, Fantasy, Drama, Adventure",English,https://boxd.it/3SWy,https://a.ltrbxd.com/resized/sm/upload/46/5q/lm/q4/secret-life-walter-mitty-1200-1200-675-675-crop-000000.jpg?v=dd56567113,114,"Samuel Goldwyn Films, Red Hour, New Line Cinema, Big Screen Productions, Down Productions, Ingenious Media, 20th Century Fox, TSG Entertainment",A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,The Secret Life of Walter Mitty,"Reid, Zach",2013
2.85,Scarlett Johansson (Lucy),Morgan Freeman (Professor Norman),Choi Min-sik (Mr. Jang),Amr Waked (Pierre Del Rio),Julian Rhind-Tutt (The Limey),France,Luc Besson,"Action, Science Fiction",English,https://boxd.it/75hu,https://a.ltrbxd.com/resized/sm/upload/c5/h0/t6/3a/lucy-1200-1200-675-675-crop-000000.jpg?v=8f78528643,89,"EuropaCorp, Canal+, Ciné+, TF1 Films Production","A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Lucy,"Reid, Zach",2014
3.34,Ben Affleck (Christian Wolff),Anna Kendrick (Dana Cummings),J.K. Simmons (Ray King),Jon Bernthal (Brax),Jeffrey Tambor (Francis Silverberg),USA,Gavin O'Connor,"Crime, Drama, Thriller",English,https://boxd.it/9EhI,https://a.ltrbxd.com/resized/sm/upload/dc/n4/l1/3l/the-accountant-1200-1200-675-675-crop-000000.jpg?v=e7ed2ca6ca,128,"Zero Gravity Management, Electric City Entertainment, RatPac Entertainment, Warner Bros. Pictures","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",The Accountant,"Reid, Zach",2016
3.72,Sacha Baron Cohen (Borat Sagdiyev),Ken Davitian (Azamat Bagatov),Luenell (Luenell),Pamela Anderson (Pamela Anderson),Bob Barr (Bob Barr),UK,Larry Charles,Comedy,English,https://boxd.it/2agQ,https://a.ltrbxd.com/resized/sm/upload/z6/b4/7w/i2/borat-1200-1200-675-675-crop-000000.jpg?v=57336b72a6,84,"20th Century Fox, Everyman Pictures, Four by Two, Talkback, Channel 4 Television, Dune Entertainment, One America","Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Reid, Zach",2006
2.99,Sacha Baron Cohen (Aladeen / Efawadh),Ben Kingsley (Tamir),Anna Faris (Zoey),Jason Mantzoukas (Nadal),Sayed Badreya (Omar),USA,Larry Charles,Comedy,English,https://boxd.it/2DEW,https://a.ltrbxd.com/resized/sm/upload/rp/iu/34/wa/the-dictator-2012-1200-1200-675-675-crop-000000.jpg?v=9b36a101dc,83,"Paramount Pictures, Berg Mandel Schaffer Productions, Scott Rudin Productions, Four by Two Films",The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,The Dictator,"Reid, Zach",2012
3.36,Will Ferrell (Ricky Bobby),"John C. Reilly (Cal Naughton, Jr.)",Sacha Baron Cohen (Jean Girard),Gary Cole (Reese Bobby),Leslie Bibb (Carley Bobby),USA,Adam McKay,Comedy,English,https://boxd.it/1XYq,https://a.ltrbxd.com/resized/sm/upload/r0/k1/ot/23/talladega-nights-10-1200-1200-675-675-crop-000000.jpg?v=4ab4ffc82b,108,"Apatow Productions, Mosaic Media Group","The fastest man on four wheels, Ricky Bobby, is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want, a luxurious mansion, a smokin' hot wife, and all the fast food he can eat. But Ricky's turbo-charged lifestyle hits an unexpected speed bump when he's bested by flamboyant Euro-idiot Jean Girard and reduced to a fear-ridden wreck.",Talladega Nights: The Ballad of Ricky Bobby,"Reid, Zach",2006
3.52,Jesse Eisenberg (Columbus),Woody Harrelson (Tallahassee),Emma Stone (Wichita),Abigail Breslin (Little Rock),Amber Heard (406),USA,Ruben Fleischer,"Comedy, Horror",English,https://boxd.it/1En6,https://a.ltrbxd.com/resized/sm/upload/ue/rg/e3/53/zombieland-1200-1200-675-675-crop-000000.jpg?v=f499bc5286,87,"Columbia Pictures, Relativity Media, Pariah","Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",Zombieland,"Reid, Zach",2009
3.17,Nicolas Cage (Grug (voice)),Emma Stone (Eep (voice)),Ryan Reynolds (Guy (voice)),Catherine Keener (Ugga (voice)),Cloris Leachman (Gran (voice)),USA,"Chris Sanders, Kirk DeMicco","Adventure, Family, Comedy, Animation",English,https://boxd.it/FRE,https://a.ltrbxd.com/resized/sm/upload/ys/v5/54/ql/the-croods-1200-1200-675-675-crop-000000.jpg?v=614bf822e1,99,DreamWorks Animation,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",The Croods,"Reid, Zach",2013
3.53,Emma Stone (Estella / Cruella),Emma Thompson (The Baroness),Joel Fry (Jasper),Paul Walter Hauser (Horace),John McCrea (Artie),USA,Craig Gillespie,"Comedy, Crime, Drama",English,https://boxd.it/bbKg,https://a.ltrbxd.com/resized/sm/upload/yf/f6/tj/su/cruella-1200-1200-675-675-crop-000000.jpg?v=155d92b041,134,"Walt Disney Pictures, Gunn Films, Marc Platt Productions","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Cruella,"Reid, Zach",2021
2.32,Adewale Akinnuoye-Agbaje (Heavy Duty),Christopher Eccleston (McCullen / Destro),Lee Byung-hun (Storm Shadow),Joseph Gordon-Levitt (The Doctor / Rex),Sienna Miller (Ana Lewis / Baroness),USA,Stephen Sommers,"Thriller, Science Fiction, Adventure, Action",English,https://boxd.it/1Ndu,https://a.ltrbxd.com/resized/sm/upload/kk/3a/mv/87/gi-joe-rise-of-the-cobra-1200-1200-675-675-crop-000000.jpg?v=a6d714befe,118,"Paramount Pictures, Spyglass Entertainment, di Bonaventura Pictures, Hasbro, Kontsept Film Company","From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",G.I. Joe: The Rise of Cobra,"Reid, Zach",2009
